time,src_cluster,dst_cluster,delay,loss
1,1,2,17.9444,0.0519126
1,2,1,17.9444,0.0519126
1,2,3,25.4336,0.0778689
1,3,2,25.4336,0.0778689
1,3,4,20.5333,0.0628415
1,4,3,20.5333,0.0628415
1,4,5,16.4818,0.0519126
1,5,4,16.4818,0.0519126
1,5,1,14.6194,0.0532787
1,1,5,14.6194,0.0532787
2,1,2,17.9249,0.00758621
2,2,1,17.9249,0.00758621
2,2,3,25.4336,0.0158621
2,3,2,25.4336,0.0158621
2,3,4,20.5462,0.00689655
2,4,3,20.5462,0.00689655
2,4,5,16.4818,0.00758621
2,5,4,16.4818,0.00758621
2,5,1,14.6194,0.00827586
2,1,5,14.6194,0.00827586
